observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative,species
2025-07-31,2025-05-26,48.1809333,16.3349562,fruiting,5,1027.371722412111,Ailanthus_altissima
2025-07-29,2025-05-26,55.6668083333,12.5137133333,fruiting,5,771.3895568847671,Ailanthus_altissima
2025-07-30,2025-05-26,53.5892888889,9.9909805556,fruiting,5,826.4464813232437,Ailanthus_altissima
2025-07-29,2025-05-26,43.0613428537,-77.2155110228,fruiting,5,1096.9957046508805,Ailanthus_altissima
2025-07-30,2025-05-26,41.904202304,12.5131750758,fruiting,5,1335.4145751953124,Ailanthus_altissima
2025-07-30,2025-05-26,45.6591037447,13.7922449782,fruiting,5,1147.268159484864,Ailanthus_altissima
2025-07-29,2025-05-26,41.4154159036,-81.7341636743,fruiting,5,1154.486099243165,Ailanthus_altissima
2025-07-29,2025-05-26,49.6331400776,17.3394161268,fruiting,5,889.4680557250991,Ailanthus_altissima
2025-07-29,2025-05-26,49.6325633256,17.338835601,fruiting,5,889.4680557250991,Ailanthus_altissima
2025-07-29,2025-05-26,42.4263266387,-71.4416010305,fruiting,5,1092.999160766603,Ailanthus_altissima
2025-07-28,2025-05-26,38.7437968932,-93.7434810027,fruiting,5,1304.1379455566407,Ailanthus_altissima
2025-07-28,2025-05-26,42.2891048866,-71.042836681,fruiting,5,1040.3832839965835,Ailanthus_altissima
2025-07-28,2025-05-26,40.948855,-4.1254083333,fruiting,5,1045.6459182739272,Ailanthus_altissima
2025-07-28,2025-05-26,40.9488444444,-4.1254722222,fruiting,5,1045.6459182739272,Ailanthus_altissima
2025-07-28,2025-05-26,40.9488216667,-4.1255416667,fruiting,5,1045.6459182739272,Ailanthus_altissima
2025-07-26,2025-05-26,33.1443416456,-96.6444609793,fruiting,5,1400.5031845092772,Ailanthus_altissima
2025-07-27,2025-05-26,42.9307916667,-85.6492944444,fruiting,5,1068.9375579833995,Ailanthus_altissima
2025-07-27,2025-05-26,37.1893716327,-8.0241123509,fruiting,5,1245.1460922241213,Ailanthus_altissima
2025-07-27,2025-05-26,43.1987526487,-3.9173415088,fruiting,5,843.3941390991225,Ailanthus_altissima
2025-07-27,2025-05-26,42.5692485048,8.7564347545,fruiting,5,,Ailanthus_altissima
2025-07-25,2025-05-26,38.1514972222,-121.2908333333,fruiting,5,1059.7642684936536,Ailanthus_altissima
2025-07-26,2025-05-26,37.9648883333,23.745245,fruiting,5,1370.680857849121,Ailanthus_altissima
2025-07-25,2025-05-26,40.4150638889,-3.6834694444,fruiting,5,1268.6837402343754,Ailanthus_altissima
2025-07-25,2025-05-26,37.9771313276,-76.3295021554,fruiting,5,,Ailanthus_altissima
2025-07-25,2025-05-26,51.31797,12.2799869,fruiting,5,874.4580169677748,Ailanthus_altissima
2025-07-25,2025-05-26,42.1148300749,-72.5659420311,fruiting,5,1012.5200210571304,Ailanthus_altissima
